:ID,:LABEL,title,identifier
col-427374f7-cd23-4eb8-99e5-c7c1ed6e21c4,Collection,Retail Sales Associate_Mar.2023,427374f7-cd23-4eb8-99e5-c7c1ed6e21c4
col-4359746a-a73c-4266-9f90-1c52b41350a3,Collection,Detectives and Criminal Investigators_February 2023,4359746a-a73c-4266-9f90-1c52b41350a3
col-45236530-a823-4447-8bff-9f979a17b2b0,Collection,Operationalizing Artificial Intelligence (AI),45236530-a823-4447-8bff-9f979a17b2b0
col-452391bb-056d-4a5e-83ee-850440a208c0,Collection,Marketing Managers_JAN.2023,452391bb-056d-4a5e-83ee-850440a208c0
col-46eacfb2-bff6-40b6-bf94-89e6e4864396,Collection,USAF Paralegal,46eacfb2-bff6-40b6-bf94-89e6e4864396
col-4755c32d-a4b4-458c-8b97-0af5f3db1b25,Collection,Data Management Foundations,4755c32d-a4b4-458c-8b97-0af5f3db1b25
col-48e1416b-2b83-4c14-8f27-5abe148bd4cb,Collection,Purchasing Managers_June.2023,48e1416b-2b83-4c14-8f27-5abe148bd4cb
col-4919b236-37d1-40f9-be56-7e0736239c9a,Collection,USAF Logistics Readiness Officer,4919b236-37d1-40f9-be56-7e0736239c9a
col-4944514e-b513-41c4-8597-50e86b3fce63,Collection,Prompt Engineering Course Design,4944514e-b513-41c4-8597-50e86b3fce63
col-4beae755-f8dc-4599-b9b6-d4cd44b831a2,Collection,Community Health Workers_April.2023,4beae755-f8dc-4599-b9b6-d4cd44b831a2
col-4c114050-56ac-443b-bcc8-432f3a716b45,Collection,Nutrition JSA Collection_Oct.2023,4c114050-56ac-443b-bcc8-432f3a716b45
col-4c3ab072-050d-4f45-9a1a-949e2971d675,Collection,WGU Student Services,4c3ab072-050d-4f45-9a1a-949e2971d675
col-4cf602f1-42da-4928-8022-33ddf47a1218,Collection,Process Engineer,4cf602f1-42da-4928-8022-33ddf47a1218
col-4dfad095-26e3-4324-887d-176223a7bf54,Collection,WGU Alumni,4dfad095-26e3-4324-887d-176223a7bf54
col-4f8095e2-afb0-48cf-bb30-d1d135899355,Collection,"Entrepreneurs, March 2023",4f8095e2-afb0-48cf-bb30-d1d135899355
col-508ae968-3460-42d6-b497-0243df300c57,Collection,Data Scientists_JUN.2023,508ae968-3460-42d6-b497-0243df300c57
col-50a9dec3-4225-47e8-95f2-c69e1fa11b41,Collection,WGU Voice of the Platform,50a9dec3-4225-47e8-95f2-c69e1fa11b41
col-512a4108-3778-45dc-a405-0ceab45c59c1,Collection,Value-Based Care_FEB. 2023,512a4108-3778-45dc-a405-0ceab45c59c1
